sm	R	N	dims	filename	mu	r	m	N	range1	range2	ntypes	sb	sm	nsteps	stepsize	sigma	final0	final1	final2	time0	time1	time2	size0	size1	size2	hit100.0	hit100.1	hit100.2
sm-.0001	R-10	N-100	2D	97363-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-100	2D	97639-r101-101-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	0	0.3	0.2	100	101	101	2	0.01	-1e-04	1000	25	0.742706471781286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sm-.0001	R-10	N-1000	1D	10467-r1-501-sb0.01-sm-1e-04-N1000-pophistory-run.Rdata	0	0.3	0.2	1000	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.542983798347928	0.986372263681592	0.951854104477612	24975	1025	1875	421	40	40	24975	24975	25
sm-.0001	R-10	N-1000	1D	10684-r1-501-sb0.01-sm-1e-04-N1000-pophistory-run.Rdata	0	0.3	0.2	1000	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.458393802956713	0.967394900497513	0.973049751243781	24975	675	1575	421	40	40	24975	24975	25
sm-.0001	R-10	N-1000	1D	11324-r1-501-sb0.01-sm-1e-04-N1000-pophistory-run.Rdata	0	0.3	0.2	1000	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.476434312995592	0.982040547263682	0.965523383084577	24975	1125	1550	421	40	40	24975	24975	25
sm-.0001	R-10	N-1000	1D	11931-r1-501-sb0.01-sm-1e-04-N1000-pophistory-run.Rdata	0	0.3	0.2	1000	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.364167877949918	0.954365547263682	0.961241169154229	24975	400	1325	421	40	40	24975	24975	25
sm-.0001	R-10	N-1000	1D	12589-r1-501-sb0.01-sm-1e-04-N1000-pophistory-run.Rdata	0	0.3	0.2	1000	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.475431075028657	0.982726741293532	0.973480223880597	24975	350	1525	421	40	40	24975	24975	0
sm-.0001	R-10	N-1000	1D	12710-r1-501-sb0.01-sm-1e-04-N1000-pophistory-run.Rdata	0	0.3	0.2	1000	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.540581628673733	0.976353109452736	0.97278184079602	24975	1150	2025	421	40	40	24975	24975	0
sm-.0001	R-10	N-1000	1D	12822-r1-501-sb0.01-sm-1e-04-N1000-pophistory-run.Rdata	0	0.3	0.2	1000	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.52254537289798	0.979008830845771	0.963059950248756	24975	900	1525	421	40	40	24975	24975	25
sm-.0001	R-10	N-1000	1D	13490-r1-501-sb0.01-sm-1e-04-N1000-pophistory-run.Rdata	0	0.3	0.2	1000	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.519776686638069	0.984750124378109	0.98183184079602	24975	725	1525	421	40	40	24975	24975	0
sm-.0001	R-10	N-1000	1D	13727-r1-501-sb0.01-sm-1e-04-N1000-pophistory-run.Rdata	0	0.3	0.2	1000	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.341466728117134	0.948079726368159	0.959387686567164	24975	24975	1350	421	40	40	24975	24975	0
sm-.0001	R-10	N-1000	1D	1520-r1-501-sb0.01-sm-1e-04-N1000-pophistory-run.Rdata	0	0.3	0.2	1000	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.454665035865802	0.981572388059701	0.970628482587065	24975	50	1625	421	40	40	24975	24975	25
sm-.0001	R-10	N-1000	1D	17050-r1-501-sb0.01-sm-1e-04-N1000-pophistory-run.Rdata	0	0.3	0.2	1000	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.451336831283015	0.961114800995025	0.964530223880597	24975	975	1500	421	40	40	24975	24975	0
sm-.0001	R-10	N-1000	1D	18192-r1-501-sb0.01-sm-1e-04-N1000-pophistory-run.Rdata	0	0.3	0.2	1000	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.421186750333841	0.956973009950249	0.972950621890547	24975	24975	1475	421	40	40	24975	24975	0
sm-.0001	R-10	N-1000	1D	19615-r1-501-sb0.01-sm-1e-04-N1000-pophistory-run.Rdata	0	0.3	0.2	1000	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.427292492407322	0.97687487562189	0.969973880597015	24975	275	1400	421	40	40	24975	24975	25
sm-.0001	R-10	N-1000	1D	20279-r1-501-sb0.01-sm-1e-04-N1000-pophistory-run.Rdata	0	0.3	0.2	1000	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.355445185001359	0.956787562189055	0.971935074626866	24975	400	1500	421	40	40	24975	24975	0
sm-.0001	R-10	N-1000	1D	20410-r1-501-sb0.01-sm-1e-04-N1000-pophistory-run.Rdata	0	0.3	0.2	1000	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.456272142848702	0.958837810945274	0.968936691542289	24975	525	1800	421	40	40	24975	24975	0
