mu	sm	N	dims	filename	mu	r	m	N	range1	range2	ntypes	sb	sm	nsteps	stepsize	sigma	final0	final1	final2	time0	time1	time2	size0	size1	size2	hit100.0	hit100.1	hit100.2
mu1e-5	sm-.0001	N-100	1D	70951-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.27665094923393	0.946407357153626	NA	24975	5950	NA	402	99	NA	3925	3775	NA
mu1e-5	sm-.0001	N-100	1D	72047-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.60130343308334	0.973594652997638	NA	24975	7900	NA	402	99	NA	6400	5900	NA
mu1e-5	sm-.0001	N-100	1D	74029-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.498414519442588	0.960365847530027	NA	24975	6450	NA	402	99	NA	3800	4175	NA
mu1e-5	sm-.0001	N-100	1D	74689-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.520795153585307	0.973784109754259	NA	24975	4025	NA	402	99	NA	3250	2225	NA
mu1e-5	sm-.0001	N-100	1D	74701-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.47753619959902	0.967115432936328	NA	24975	4350	NA	402	99	NA	1000	1925	NA
mu1e-5	sm-.0001	N-100	1D	77144-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.218712779386649	0.964961555857078	NA	24975	2225	NA	402	99	NA	875	675	NA
mu1e-5	sm-.0001	N-100	1D	77842-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.397439048538403	0.960412081009096	NA	24975	5650	NA	402	99	NA	4475	3275	NA
mu1e-5	sm-.0001	N-100	1D	79638-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.624529590851712	0.974373586612393	NA	24975	4350	NA	402	99	NA	2125	975	NA
mu1e-5	sm-.0001	N-100	1D	79883-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.336668028019108	0.944448967284788	NA	24975	7650	NA	402	99	NA	775	4075	NA
mu1e-5	sm-.0001	N-100	1D	79936-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.586977550060642	0.99030554299211	NA	24975	7450	NA	402	99	NA	5300	2425	NA
